sentence_n,sentence
1,palaan asiaan tänään
2,kävin lääkärissä eilen
3,tulen perjantaina
4,kuulostaa hyvältä
5,kiitos vastauksestasi
6,tuo lienee oikea vastaus
7,tämä on todella hyvä
8,tämä on arkaluontoista
9,tuletko kanssamme
10,oliko se vahinko
11,mikä sinulla on vialla
12,minkä niistä valitsit
13,älä tee siitä ongelmaa
14,pääsen perille tunnissa
15,ota mitä vain voit
16,olen lähes sanaton
17,hän oli yläkerrassa
18,kuinka hän pärjää siellä
19,totuttelen tähän vielä
20,lähetätkö sähköpostia
21,tarvitsetko sen tänään
22,voinko auttaa mitenkään
23,ei tehdä tästä ongelmaa
24,äänestän jälkimmäistä
25,halusin vain tarkistaa
26,ostitko meille liput
27,kokeilen uudestaan
28,puhutaan maanantaina
29,palauta raportti pian
30,onkohan se jo ohi
31,soitan sinulle aamulla
32,voitko auttaa minua
33,tällä ei ole kova kiire
34,tavataan keskustassa
35,olen töissä huomenna
36,pidä minut ajan tasalla
37,olen tulossa sinne
38,tiedätkö tästä mitään
39,hanna ottaa vastuun
40,hyväksyin sen jo
41,oletko aivan varma
42,mitä eroa näillä on
43,olen lomalla heinäkuussa
44,olen avoin ehdotuksille
45,voimme juoda viiniä
46,voinko pitää tämän
47,haluatko syödä lounasta
48,kiitos kaikesta avusta
49,en tarvitse lahjoja
50,olen sopinut jo asian
51,pitääkö minun ajaa autoa
52,pitääkö meidän jutella
53,se tuli tarpeeseen
54,soita hänelle huomenna
55,lähetä paperit minulle
56,tämä näyttää hyvältä
57,olen hyvin väsynyt
58,sujuiko matkasi hyvin
59,en tiennyt mitä tehdä
60,älä ota häntä mukaan
61,voiko sitä enää korjata
62,tarkoititko yliopistoa
63,se on tavanomaista
64,näitkö minun viestini
65,hyvää viikonloppua
66,mitä sinä luulet
67,nähdään siellä pian
68,olen avoin kaikelle
69,voisitko käydä kaupassa
70,kävin ostoksilla tänään
71,ei ollut edes lähellä
72,voitko jo paremmin
73,meidät otettiin vastaan
74,onko hän valmis vielä
75,kiitos hyvää työtä